,EVA,,,,SBT,,,,FPF,,,,RPF,,,,MYF,,,,PXD,,,,VNF,,
Time,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration
0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
0.000150095,0,0,0,,0.023,0,0,,0,0,0,,0,0,0,,0.009,0,0,,0.0011,0,0,,0.0053,0,0
0.000300756,0,0,0,,0.18303158,0,0,,0,1.28E-22,0,,0,7.86E-18,3.56E-16,,0.07162105,0,0,,0.00875368,0,0,,0.04217684,0,0
0.000450556,0,1.10E-16,2.99E-15,,0.13557895,0,0,,0,3.46E-12,9.35E-11,,0,6.12E-08,1.55E-06,,0.05305263,0,0,,0.00648421,0,0,,0.03124211,0,0
0.000600353,0,1.19E-11,2.72E-10,,0.12831579,0.00000472,0,,0,1.88E-07,4.14E-06,,2.43E-14,0.000237974,0.00474442,,0.05021053,0.00002419,0,,0.00613684,0.00000736,0,,0.02956842,0.00000893,0
0.000750148,0,2.23E-08,4.58E-07,,0.11621053,0.00883603,0.00000021,,1.07E-14,0.00010689,0.00207255,,3.95E-10,0.014239,0.2497,,0.04547368,0.04532312,0.00000091,,0.00555789,0.01379987,0.00000036,,0.02677895,0.01673335,0.0000006
0.000900804,0,4.94E-06,9.39E-05,,0.00968421,1.95739749,0.00004368,,1.27E-10,0.00569511,0.0995717,,1.06E-08,0.190971,3.01849,,0.00378947,10.04018828,0.00018637,,0.00046316,3.05701255,0.0000728,,0.00223158,3.70684992,0.00012231
0.0010506,1.78E-14,0.000267159,0.00474326,,0.14768421,0.00000001,0.00012428,,4.19E-09,0.0776695,1.23065,,1.09E-07,1.19697,16.9866,,0.05778947,0.00000004,0.00053026,,0.00706316,0.00000001,0.00020713,,0.03403158,0.00000001,0.00034799
0.00120039,1.78E-10,0.00546447,0.0905123,,0.09442105,0.00007053,0.00254203,,4.42E-08,0.49484,7.03433,,6.41E-07,4.76197,59.7166,,0.03694737,0.00036177,0.010846,,0.00451579,0.00011015,0.00423672,,0.02175789,0.00013357,0.00711769
0.00135019,3.51E-09,0.0540818,0.827316,,0.046,0.00139078,0.02515846,,2.64E-07,1.96142,24.5345,,2.60E-06,13.7578,148.557,,0.018,0.00713382,0.10734276,,0.0022,0.00217209,0.04193077,,0.0106,0.00263381,0.07044369
0.00150084,3.06E-08,0.312369,4.33361,,0.20336842,0.01212477,0.14531179,,1.08E-06,5.62376,60.1272,,8.02E-06,31.1984,278.859,,0.07957895,0.06219226,0.61999696,,0.00972632,0.01893615,0.24218631,,0.04686316,0.02296146,0.40687301
0.00165064,1.68E-07,1.18482,14.5503,,0.15494737,0.06656736,0.55116965,,3.26E-06,12.4916,109.898,,1.97E-05,57.6703,404.571,,0.06063158,0.3414477,2.35165717,,0.00741053,0.10396318,0.91861608,,0.03570526,0.12606291,1.54327502
0.00180044,6.50E-07,3.28842,34.5573,,0.10652632,0.2575523,1.52974908,,7.91E-06,22.7951,156.811,,4.03E-05,90.4383,462.346,,0.04168421,1.32107741,6.52692939,,0.00509474,0.40223849,2.54958179,,0.02454737,0.48774341,4.28329741
0.00195023,1.92E-06,7.11558,60.9761,,0.05568421,0.76076987,3.31011608,,1.60E-05,35.5426,179.702,,7.11E-05,123.835,417.223,,0.02178947,3.90225941,14.12316195,,0.00266316,1.18815063,5.51686014,,0.01283158,1.440719,9.26832503
0.00210005,4.55E-06,12.5301,81.4855,,0.12105263,1.80286611,5.82891142,,2.81E-05,48.9752,170.832,,0.000111053,152.012,294.083,,0.04736842,9.24754184,24.87002205,,0.00578947,2.81566946,9.71485236,,0.02789474,3.41420387,16.32095197
0.00225072,9.00E-06,18.5878,81.734,,0.17431579,3.56610879,8.64690941,,4.41E-05,61.5882,142.645,,0.000157901,171.732,156.719,,0.06821053,18.291841,36.89348017,,0.00833684,5.56945607,14.41151569,,0.04016842,6.75337029,24.21134636
0.00240054,1.52E-05,23.8315,58.6999,,0.13073684,6.02276151,11.08624053,,6.32E-05,72.512,115.983,,0.000208095,182.964,61.2167,,0.05115789,30.89288703,47.30129293,,0.00625263,9.40619247,18.47706755,,0.03012632,11.40569205,31.04147348
0.00255035,2.27E-05,27.3735,26.6499,,0.08473684,8.99451883,12.73395318,,8.50E-05,81.8691,100.086,,0.000259776,188.845,25.773,,0.03315789,46.13608787,54.33153355,,0.00405263,14.04740586,21.22325529,,0.01952632,17.03350063,35.6550689
0.00270017,3.09E-05,29.3386,6.92746,,0.04115789,12.24364017,13.64810341,,0.000108963,89.9808,89.5797,,0.000312148,194.056,50.6363,,0.01610526,62.80198745,58.23190788,,0.00196842,19.12179916,22.74683902,,0.00948421,23.18657134,38.21468955
0.00285084,3.93E-05,30.7658,10.8894,,0.20336842,15.57200837,14.31202647,,0.00013512,97.2448,78.7989,,0.000366085,203.825,137.055,,0.07957895,79.87437238,61.06464628,,0.00972632,24.31995816,23.85337745,,0.04686316,29.48971695,40.07367412
0.003,4.78E-05,32.8679,32.2447,,0.23,18.94,15,,0.000162786,104.098,73.4877,,0.000422632,222.151,273.008,,0.09,97.15,64,,0.011,29.58,25,,0.053,35.8679,42
